seed,period,context,hypothesis,early_events,delta_w_nonzero_neurons,delta_w_zero_neurons,delta_w_to_delta_s,raw_t_to_clipped_t,clipped_t_to_g_td,raw_t_to_neg_g_inh,g_td_to_net_topdown,neg_g_inh_to_net_topdown,net_topdown_to_d_residual,net_topdown_to_apical_mean,apical_mean_to_improvement_contrast,apical_improvement_contrast_to_d_residual,raw_t_to_delta_w,raw_t_to_delta_s,raw_t_to_role,clipped_t_to_delta_w,clipped_t_to_delta_s,clipped_t_to_role,g_td_to_delta_w,g_td_to_delta_s,g_td_to_role,neg_g_inh_to_delta_w,neg_g_inh_to_delta_s,neg_g_inh_to_role,net_topdown_peak_envelope_to_delta_w,net_topdown_peak_envelope_to_delta_s,net_topdown_peak_envelope_to_role,latency_advance_to_delta_w,latency_advance_to_delta_s,latency_advance_to_role,created_spike_frequency_to_delta_w,created_spike_frequency_to_delta_s,created_spike_frequency_to_role,apical_mean_to_delta_w,apical_mean_to_delta_s,apical_mean_to_role,apical_improvement_contrast_to_delta_w,apical_improvement_contrast_to_delta_s,apical_improvement_contrast_to_role,d_residual_to_delta_w,d_residual_to_delta_s,d_residual_to_role
3102,pre,1,8,34,1,7,1.0,0.935448273993664,0.9995882897838909,0.9275875872404559,0.9930919079893826,0.9925791195984206,0.8522645619321845,0.990401967740058,0.994982603537499,0.862700119819087,0.5735496657437565,0.5735496657437565,0.5968777337732841,0.6644053237048135,0.6644053237048139,0.7207414332298107,0.6627944166288011,0.6627944166288015,0.7306621649394297,0.6954020618439459,0.6954020618439462,0.7322737791081119,0.692665722371596,0.6926657223715958,0.7511094555523146,0.0,0.0,0.0,0.0,0.0,0.0,0.6644052478550831,0.6644052478550833,0.7207414969247569,0.7117617530472213,0.7117617530472214,0.736993423632762,0.34653442060568523,0.34653442060568523,0.7546860591465024
3102,post,1,5,17,1,7,1.0,0.9275461814351383,0.9807719146745182,0.8908094002914196,0.9962446046398468,0.974244021395285,0.7971580899576776,0.9698130951476275,0.9286516707494945,0.5970763154344676,0.6343100076164864,0.6343100076164866,0.5126384360599813,0.8013260110762231,0.8013260110762234,0.3725726254310582,0.7280252083092643,0.7280252083092642,0.24077170617153842,0.8017836077371753,0.8017836077371754,0.35355335937337956,0.7312596419941394,0.7312596419941395,0.18813339356188363,0.0,0.0,0.0,0.0,0.0,0.0,0.8013260751946876,0.8013260751946877,0.37257255334395323,0.8567549709329322,0.8567549709329322,0.4039183326784434,0.1918083089193423,0.1918083089193423,0.08359668701227134
3103,pre,0,1,4,0,8,0.0,0.9578102489389304,0.9208043681564695,0.0,1.0,0.0,-0.5573191910296406,0.9208048603364984,-0.7593921901356878,1.0,0.0,0.0,-0.31635129782217103,0.0,0.0,-0.3352469440169927,0.0,0.0,-0.3779644730092273,0.0,0.0,0.0,0.0,0.0,-0.37796447300922725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.335246925706328,0.0,0.0,0.4398536344566421,0.0,0.0,0.4398536344566421
3103,post,0,10,20,0,8,0.0,0.9337701209707422,0.9888350322754205,0.8969820475239737,0.9954428736662719,0.9887475742155981,0.8105285836117637,0.9734739871962691,-0.9888370000574404,-0.799900822584704,0.0,0.0,0.12080329095124626,0.0,0.0,-0.21274778149897458,0.0,0.0,-0.30929478778437114,0.0,0.0,-0.24999996688630977,0.0,0.0,-0.36062159075134204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21274778116597368,0.0,0.0,0.2649456825393502,0.0,0.0,-0.508750952157363
3103,pre,1,2,21,0,8,0.0,0.7981114399439267,0.9990009077740906,0.0,0.9998920221504083,0.0,0.6244566623659914,0.9985533713965113,0.8728481043204825,0.8745523906214147,0.0,0.0,0.39870784192389247,0.0,0.0,0.4493320097749807,0.0,0.0,0.44177063089637436,0.0,0.0,0.0,0.0,0.0,0.4351011608050896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4493321964457252,0.0,0.0,0.6195607298006572,0.0,0.0,0.4672960545142755
3103,post,1,2,21,0,8,0.0,0.8830974147016452,0.9966804619877065,0.9041206214775791,0.9920024523399981,0.9920024487485547,0.18991077221283453,0.9945341660612643,-0.2721320971814,0.8883166177906987,0.0,0.0,0.3477926603111621,0.0,0.0,0.6044948320701307,0.0,0.0,0.6099942813304187,0.0,0.0,0.6099942840361109,0.0,0.0,0.662582065360552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6044948839091446,0.0,0.0,-0.2768203101224989,0.0,0.0,0.006318815499716555
3104,pre,0,2,4,0,8,0.0,0.8933740843459114,0.0,0.0,0.0,0.0,0.0,0.0,-0.48848341444001075,1.0,0.0,0.0,-0.24901570803219145,0.0,0.0,-0.5014646257945434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5014655263572673,0.0,0.0,0.0788952593331439,0.0,0.0,0.0788952593331439
3104,post,0,5,14,0,8,0.0,0.8569141772436295,0.9973940780171986,0.0,0.999962822646351,0.0,0.16350101026132582,0.9971758070673238,0.8732562074852933,0.18932904266255848,0.0,0.0,0.6339063177181831,0.0,0.0,0.6211302566939012,0.0,0.0,0.6320654884985611,0.0,0.0,0.0,0.0,0.0,0.6341119576672496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6211301409371223,0.0,0.0,0.3824148963564379,0.0,0.0,0.29168352307723155
3104,pre,1,15,18,1,7,1.0,0.8794074402490533,0.997758219231162,0.8677234741523112,0.9912261903780264,0.9901805066916676,-0.9253701455233516,0.9856613767724446,-0.8823923443742563,0.7205236074891037,0.784935377616068,0.7849353776160684,0.4415471950657071,0.9395302797443869,0.9395302797443873,0.23617499984125617,0.957212485038254,0.9572124850382542,0.26706850804640825,0.9528276285787544,0.9528276285787549,0.2607873829546557,0.9671522247792265,0.9671522247792269,0.21317339408658048,0.0,0.0,0.0,0.0,0.0,0.0,0.9395302685750114,0.9395302685750117,0.2361748445583888,-0.735661028689114,-0.7356610286891142,-0.17855020223069004,-0.9834694098260186,-0.9834694098260189,-0.4465642693540138
3104,post,1,15,20,1,7,-0.9999999999999998,0.9866963207009376,0.9999386780132541,0.9876073183047593,0.9972658997124038,0.9972658980228037,-0.0719173896282098,0.9978020508585967,-0.029110634970910137,1.0,0.9702661777570042,-0.9702661777570042,0.5035624874240088,0.9934825256381244,-0.9934825256381243,0.4252480230600664,0.9921593040474271,-0.9921593040474274,0.4295465639130129,0.9921593001323294,-0.9921593001323296,0.429546575997782,0.9961875723464865,-0.9961875723464865,0.38934850243207236,1.0,-0.9999999999999998,0.37796447300922725,0.9999999999999999,-1.0,0.37796447300922725,0.9934825232363026,-0.9934825232363026,0.42524802310149623,-0.14285714285714285,0.14285714285714282,0.3779644730092272,-0.14285714285714285,0.14285714285714282,0.3779644730092272
3105,pre,0,2,18,0,8,0.0,0.7693691441284676,0.9505128449940633,0.0,0.9999664987172948,0.0,0.8421136435644181,0.9493729519358654,0.9113951366313813,0.8639879721205432,0.0,0.0,0.5559316050056127,0.0,0.0,0.6938476232490567,0.0,0.0,0.7233393492970543,0.0,0.0,0.0,0.0,0.0,0.7210684622555356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6938475970677822,0.0,0.0,0.616728107610144,0.0,0.0,0.32655901082603395
3105,post,0,5,8,0,8,0.0,0.8070032113075799,0.9586744002644443,0.0,0.9999662841260932,0.0,-0.18296926638040284,0.957368767862486,0.4662430319596695,-0.9984589124610683,0.0,0.0,0.27292769363466607,0.0,0.0,0.2532718579657138,0.0,0.0,0.03668644191235265,0.0,0.0,0.0,0.0,0.0,0.03194884544704215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2532723559473326,0.0,0.0,0.6909421392523052,0.0,0.0,-0.7085466193184838
3105,pre,1,10,30,1,7,1.0,0.9262879029832845,0.9795667620677497,0.8411907068734219,0.9964739688500858,0.9938980325882469,0.2876539885257027,0.9626282944956295,0.9724533393399851,0.46839460282008644,0.7486088014247472,0.7486088014247472,0.5721760292510222,0.9134480766760943,0.9134480766760944,0.48808950582019206,0.9272500265149227,0.9272500265149226,0.4954886290182247,0.9449111574914689,0.944911157491469,0.5000000220757915,0.9371709084019451,0.937170908401945,0.46511599718199176,0.0,0.0,0.0,0.0,0.0,0.0,0.9134480191566854,0.9134480191566853,0.48808936396245955,0.874357018802668,0.874357018802668,0.49509061336192683,0.01653117235026044,0.016531172350260442,0.5778254086515682
3105,post,1,10,30,1,7,-0.9999999999999998,0.9788606260003769,0.9998902407130079,0.9799534279381742,0.9971898373747704,0.997189836366604,0.054342619150914706,0.9977394782520954,0.21974537549919598,0.5914681061403826,0.9571518037071756,-0.9571518037071757,0.29401892667441243,0.9918684195142732,-0.9918684195142732,0.3356747968105912,0.9899068293298843,-0.9899068293298842,0.32937957397230905,0.9899068266403824,-0.9899068266403823,0.3293795672132188,0.9945051179495449,-0.9945051179495449,0.34772692700540697,1.0,-1.0,0.3779644730092272,0.9999999999999998,-0.9999999999999996,0.3779644730092271,0.991868418627254,-0.991868418627254,0.33567479585199267,0.33814841307039134,-0.33814841307039134,0.3093070631962658,0.049311616804702196,-0.049311616804702196,-0.23419459497859443
3106,pre,0,3,18,0,8,0.0,0.863169424993886,0.9909298872212832,0.0,0.9999510502227471,0.0,0.7153996151791298,0.9907715035896381,0.8083293041103652,0.552925191972695,0.0,0.0,0.8283372613216755,0.0,0.0,0.8810560902235397,0.0,0.0,0.8800705415623881,0.0,0.0,0.0,0.0,0.0,0.8799309580280642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8810561038543264,0.0,0.0,0.8156457064939453,0.0,0.0,0.4218798577442915
3106,post,0,7,12,1,7,0.9999999999999998,0.8430568762316741,0.9678312809594078,0.0,0.9999916229760792,0.0,-0.9741317667405691,0.9680621585709673,0.8535663868529338,-0.923767397376287,0.710930298177207,0.710930298177207,0.7054564225540607,0.9529463916945891,0.952946391694589,0.5803144316040763,0.9921593040474271,0.9921593040474271,0.4295465639130129,0.0,0.0,0.0,0.9916394306721638,0.9916394306721636,0.43112200916404614,0.0,0.0,0.0,0.0,0.0,0.0,0.9529464061165827,0.9529464061165828,0.5803145215841302,0.8967312617330785,0.8967312617330784,0.43101493684382036,-0.9442010119354863,-0.9442010119354864,-0.5053069894244777
3106,pre,1,4,26,1,7,1.0,0.873784552043178,0.9905597462125079,0.817252725381445,0.9821235997828791,0.9798409943355165,0.20353137468961496,0.9802256752754755,0.9481612464455906,0.36940299576657054,0.6915132301189696,0.6915132301189698,0.6895048344827878,0.8906245652902496,0.8906245652902498,0.6210543476149832,0.8867474246429197,0.8867474246429201,0.64769994965782,0.9352599651359952,0.9352599651359954,0.5495037964630778,0.9287143943085027,0.9287143943085027,0.5509705508063955,0.0,0.0,0.0,0.0,0.0,0.0,0.8906245765586616,0.8906245765586619,0.6210543226674545,0.8816737819270927,0.8816737819270932,0.5533749260026506,-0.08627948762360471,-0.08627948762360471,0.4448793684938555
3106,post,1,9,11,1,7,1.0,0.9419403363044673,0.9960447840168484,0.0,1.0,0.0,-0.7951744180328342,0.9960447675096941,0.6337653729796859,-0.21069467903560574,0.9366240090233272,0.9366240090233272,0.45581683140967916,0.9960447840168484,0.9960447840168486,0.3488002032047464,1.0,1.0,0.3779644730092272,0.0,0.0,0.0,1.0,1.0,0.37796447300922725,0.0,0.0,0.0,0.0,0.0,0.0,0.9960447675096942,0.9960447675096943,0.3488001467714832,0.6683150187418115,0.6683150187418113,0.2978299710465772,-0.7951744180328341,-0.7951744180328342,-0.13327862782581434
3107,pre,0,11,29,0,8,0.0,0.8762079247668587,0.9958026715272562,0.8467665792412123,0.985668842071806,0.974527258085349,-0.8041325938716565,0.9701916868205273,-0.9119642780222511,0.8483655964792299,0.0,0.0,0.2136675329285855,0.0,0.0,-0.0443439342502029,0.0,0.0,-0.0985329234406037,0.0,0.0,-0.13127291650035644,0.0,0.0,-0.19488316150453672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04434396207808958,0.0,0.0,0.16781673955044946,0.0,0.0,-0.17495836407523205
3107,post,0,14,21,1,7,0.9999999999999997,0.897459812217595,0.9973894238842742,0.9105142473838661,0.986301864860054,0.987007947368649,-0.18531657375212163,0.9898641981693215,0.971331427999626,-0.005403073289051243,0.7150866419990558,0.7150866419990559,0.8373056235808347,0.9146337412212772,0.914633741221277,0.681381637702368,0.8998941965388472,0.8998941965388474,0.7246205975058925,0.9007916898641183,0.9007916898641183,0.7189865291806742,0.9371530728546926,0.9371530728546924,0.6321970874424392,0.0,0.0,0.0,0.0,0.0,0.0,0.9146337420264445,0.9146337420264442,0.681381645151323,0.8740789386851501,0.8740789386851503,0.6755633440557174,-0.47526771656429073,-0.4752677165642908,0.42828669748626236
3107,pre,1,8,23,1,7,1.0,0.9780456713419339,0.9997932477240283,0.9511435840593515,0.9978588905650052,0.9888710691686361,0.990838887529181,0.9984594216486105,0.9040821618051117,0.9548546462174008,0.9511435840593516,0.9511435840593517,0.29328611764286455,0.9877004792275396,0.9877004792275396,0.3226070781961441,0.9843241385940035,0.9843241385940038,0.3143092792213337,1.0,1.0,0.3779644730092272,0.988871069168636,0.988871069168636,0.3283080498867812,0.0,0.0,0.0,0.0,0.0,0.0,0.98770048272454,0.98770048272454,0.32260708224111223,0.9597830761596258,0.959783076159626,0.45343767535574697,0.9998307770700844,0.9998307770700845,0.3696463903208111
3107,post,1,8,20,1,7,-1.0,0.9974894821440029,1.0,0.9974894821440029,0.9996902836114858,0.9996902836114858,0.9975324543105432,0.9996902825926847,0.9999999999999992,0.9989707036254015,0.997489482144003,-0.9974894821440028,0.38767230638442035,1.0,-0.9999999999999998,0.3779644730092272,1.0,-1.0,0.37796447300922725,1.0,-1.0,0.37796447300922725,0.9996902836114857,-0.9996902836114857,0.3740073440903099,1.0,-1.0,0.37796447300922725,1.0,-1.0,0.37796447300922725,0.9999999999999994,-0.9999999999999991,0.37796447932608285,1.0,-0.9999999999999998,0.37796447300922725,0.9989707036254016,-0.9989707036254015,0.3845746417918334
3108,pre,0,10,37,0,8,0.0,0.8851648877400744,0.9927798371283154,0.8573772363268406,0.9899031404979198,0.9899031404979198,-0.8639707244891712,0.9728357082062462,-0.9995481651923195,0.7860589952928351,0.0,0.0,0.13622540946743045,0.0,0.0,-0.042128125274203176,0.0,0.0,4.152055364533959e-17,0.0,0.0,0.0,0.0,0.0,-0.0274674442345749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04212813087493749,0.0,0.0,0.04888859904059689,0.0,0.0,-0.06206634497229058
3108,post,0,10,21,0,8,0.0,0.9337498503088064,0.9998565391784563,0.9255574015448622,0.9893019675570855,0.9930236629370791,-0.6090118972371964,0.9902815560877761,-0.9790264557186883,0.6414700463163536,0.0,0.0,0.1402933494484415,0.0,0.0,0.0034302416304222987,0.0,0.0,0.008963294279000751,0.0,0.0,-3.770239833147845e-17,0.0,0.0,-0.04452847300780803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00343023898496956,0.0,0.0,0.027408515554572802,0.0,0.0,0.07514650818013625
3108,pre,1,6,25,0,8,0.0,0.9101242022651135,0.9985583342965965,0.8935641902587903,0.9850986782202732,0.9840946370477793,0.721855739213254,0.9772685919501428,-0.9804164952552984,-0.5411908974776168,0.0,0.0,0.1353620411555701,0.0,0.0,0.024761875763397015,0.0,0.0,-0.005637674030032243,0.0,0.0,0.013535076259091363,0.0,0.0,-0.07170541324689383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024761917104183684,0.0,0.0,-0.09536478233381956,0.0,0.0,-0.385149026700278
3108,post,1,2,10,1,7,1.0,0.9008945970117967,0.921033085946884,0.0,0.9996248044882494,0.0,0.7576668132993692,0.9174299106646765,0.8895554710822337,0.9893291795058607,0.5135998497940611,0.5135998497940613,0.08725547157006569,0.6984030298299547,0.6984030298299546,0.16735194588792193,0.6614378277661477,0.6614378277661476,0.24999999999999994,0.0,0.0,0.0,0.6406466369269245,0.6406466369269246,0.2421416685112188,0.0,0.0,0.0,0.0,0.0,0.0,0.6984028829488318,0.6984028829488319,0.1673514823424051,0.947587843148778,0.9475878431487779,0.3233830331440497,0.9757700434697484,0.9757700434697485,0.38036681333533984
3109,pre,0,14,40,1,7,1.0,0.9271588685475266,0.9958391915789463,0.8867251258026638,0.9891161591128602,0.9901685578025761,-0.8042350617006087,0.9804026409529746,0.9701868738612396,-0.7270896090043593,0.8714344643533191,0.8714344643533191,0.14777414948442355,0.9854947961001048,0.9854947961001053,0.33138544529139347,0.9824304213037512,0.9824304213037512,0.310235043139395,0.9980734352450799,0.9980734352450799,0.3569277395244361,0.9849174265961222,0.9849174265961224,0.36478299542275855,0.0,0.0,0.0,0.0,0.0,0.0,0.9854948088648197,0.9854948088648197,0.331385587812018,0.9888214566187143,0.9888214566187142,0.4614685876910322,-0.7847825510840875,-0.7847825510840875,-0.16448308791103491
3109,post,0,14,22,1,7,-0.9999999999999998,0.9856281845307291,0.9999922974147641,0.9853397529385823,0.9982502691618264,0.9982502691618264,-0.16129276711826546,0.9981466170678875,0.9990456230046363,-0.13367692417581617,0.9853397529385824,-0.9853397529385823,0.3959123641363753,0.999992297414764,-0.9999922974147639,0.3758021985420938,0.9999999999999999,-1.0,0.3779644730092272,1.0,-0.9999999999999998,0.37796447300922725,0.9982502691618262,-0.9982502691618265,0.36775710489088753,1.0,-0.9999999999999998,0.3779644730092272,1.0,-1.0,0.37796447300922725,0.9999922973274302,-0.9999922973274303,0.37580220371101525,0.9992093653369468,-0.999209365336947,0.3995387787109095,-0.11415201363242333,0.11415201363242329,0.11014929999665525
3109,pre,1,4,20,0,8,0.0,0.894380465818119,0.9993839603752974,0.817339318355734,0.9951542052196389,0.9459547728102489,0.9824699063371036,0.9931197394663605,-0.39625104638240966,-0.43083238279824937,0.0,0.0,0.10350579800451976,0.0,0.0,-0.23792014410315515,0.0,0.0,-0.2398942728922125,0.0,0.0,-0.0985329507932203,0.0,0.0,-0.2836266446132868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23792030998108815,0.0,0.0,0.027980121107385344,0.0,0.0,-0.1545229202483918
